node,count,star,friends
lO1iq-f75hnPNZkTy3Zerg,40,4.04,488
-1O9sBJSdzbOqpTOtxC4fw,13,4.07,37
P6BJWFBDrIfb0A2b3JqeTw,220,3.4,262
Lk_eZFqNHf4dyO1QaZogKw,14,4.19,55
QyWfZ8fvvjJhz9n5Txdm8g,51,3.56,13
LZJmDJtka5OAc395nsUDVQ,74,3.56,187
s0W73LkKcEx9QmyDpLKstA,10,2.83,143
6txigQV7wa0uf5sFnrsoAw,20,4.7,95
CItMwJUX0Dv8wwugxWVUPQ,69,3.38,97
cjotiAHFSbFuvbxTWmGi1Q,1598,3.39,6012
b6_gR3caZcaf3PIein5ktA,658,4.02,441
L7mHvgViTUAK1SFOLndKUw,30,4.71,76
QfDgHpjLx6f6Q9dwoihpig,13,3.29,273
qC5w4VMIawA2xhK7AR_wRw,30,4.76,565
dW_wGxH-Vn2eeQtnSW5O4A,11,4.18,97
tH-o90F9XPyVvJ1sFP_rTA,22,4.91,2
pou3BbKsIozfH50rxmnMew,2812,4.28,4024
Ub3VU4TLZL7cpaDUvOjYTw,173,3.59,1720
2X_OQjrZz2IJZtxiyS6u0w,507,3.7,333
RpqZqQQSV1ErCOWFMMKhrA,10,4.8,83
3Vd_ATdvvuVVgn_YCpz8fw,664,3.35,1908
Lu8y2ayxVlAzuJEVfVcH4w,2482,4.23,6043
en5qEaJqGeGTgGri3p8I1w,221,3.47,429
VO3SB9Bxmy3AItS3KyqPmA,400,4.07,431
dUjWYjb8F-bWeKsS_lMfBg,413,3.81,613
6eagFJ9Fjzs33rrmgRn3EA,67,3.93,33
TGdnpYdQgPnKAd7JoC37pQ,1226,3.94,1117
065Bl8Fg1mvbiwXh4NaSHw,183,3.36,371
QBXAIu1Vm-nKXUwBqZ5H7Q,642,4.16,539
e9RSbANcZuG2k7jXxOG5cg,21,3.9,11
G0jy3hldFyLBbxtMoF4PkA,201,3.79,248
gEI48-UmMLfbUk2fzrgqfg,1,1,18
qJwc6VUOttRB0W5qhFo5wg,218,3.19,490
KVehpTNCERwMGAx-h9MR-A,488,4.03,2023
GIMg5oHqsJXdRq_7tR2jjQ,512,3.47,654
oUNm5rDUDxu0LMximnNHWQ,266,3.86,180
4QeDAhpEaD22wxT42AqFPg,484,3.77,411
-4BEUkLvHQntN6qPfKJP2w,406,3.67,1664
5L4QEmVmeiriQQmMw6gDKQ,26,3.44,279
HFECrzYDpgbS5EmTBtj2zQ,5887,3.94,3228
