node,count,star,friends
cxuxXkcihfCbqt5Byrup8Q,12,2.75,23
HDAQ74AEznP-YsMk1B14CA,145,3.72,6
6A6-aIX7fg_zRy9MiE6YyQ,103,4.08,23
G8ceJ1sl4bTa3HpHH30Tsw,31,4.1,36
vLxpEHKZFzv8LYY5eeGjTg,526,3.69,601
82cSkx1JPYncxaEbHw881Q,109,4.35,10
v8nn6KoAX95TM6l8eLwaOg,368,3.59,86
8tj9792w3U7lv_XkErMn4A,317,3.82,100
o4-1TV2DNRiJuP54QnYlLw,31,3.73,2
SpuK67B0EVHX0DuMEgPq3w,148,3.71,37
70WzR6h6CrGVx5Oc6jpsfw,562,4.03,486
bXmJD9Xcr8H1wgIkjC1Blw,460,3.47,1062
6gbobg9g8ed_S_LP5MsF-Q,35,2.78,8
MnfDvdGoM3hIKesuTjdHGA,152,3.1,75
srlNQdd0pXKdNqyWr35bGA,254,3.36,163
df3kNNGt5nykGt4Q6MH1ew,532,3.12,200
vShdkvNEIa_4yt-Fwz_t1A,21,3.92,68
yKC1QUmOahoNyzsr9PvIaw,103,4.22,32
C14KW1jjKM8QlYfMyzP1sQ,60,3.66,14
rMLNeEH2y5Evz1crWSjoCw,143,3.85,73
rty3-Hje7PEAwHJLU9XNeQ,88,3.98,111
79FSS85liZ_sfaAoaws08Q,519,3.73,129
chuM6TBkFHtTwJ6z96Hj1A,120,3.77,166
63-2PK0__Z3Zr1X-2mu1wQ,314,3.8,41
KDewJBJknfWvQyHHFNbfdg,892,4.14,3964
8Akq8sh1LSmJbqa6Jjxxqg,376,3.5,350
F7iff--Uf5He1P-i4fxqlA,9,2.89,10
n1LPOe0Esplt8LZ9kn8O7A,19,3.84,19
AHRrG3T1gJpHvtpZ-K0G_g,2492,4.33,6660
zYFGMy1_thjMnvQLX6JNBw,1405,4.17,949
8-U6FgqWxNmXz80JhJQXZg,228,3.61,167
94cd_OgdBWztKJJVCwUNuw,42,3.77,380
6OV_PFTl9RW2FmYQoOsuRQ,166,4.08,40
4gRVvFCNZXW93ljq6iPYXQ,95,4.61,32
JppCdZ826kxFGbr7Wzx3pg,6,3.67,290
HrwFKvIs8RsnyCeWjv4SeQ,58,4.15,39
JrNSn4L76IuIGpcWebaD3A,1,4,6
uGqfEmMF5Nt-9nTaVyOfqA,2,5,40
QaCbRxUMAcTJl5YwA6inDA,177,4.25,84
Qki8yvDgYY_cWxrCILotHg,5,5,236
qIG8AJU_SdMGCfCm9Ad4SQ,17,3.17,8
6KLIUutWDNTmZ69Gr9UyMg,13,4.47,25
1ypK74Sr0QmsJ8IZG8v0cQ,217,3.45,262
8hTXa7xbVCp7yznGMdFaRw,307,3.88,663
iOn1PApbKUeCSiQpen2cHQ,22,3.88,18
VRvD7-JHdWdTQnh1lRCw_A,618,4.01,695
2Olzh5w8CG7XcTjU0t9jpA,15,3.53,199
kzsVUq9e0Ie5TRU_Rlpwcw,51,4.11,1055
A20V8_FDfKS1srIxLTrOpg,155,4.13,29
LrUaSoIUldeRK6Uwx9v-3Q,197,4.2,122
5OFVq6LA4g33FbzQtutl_w,288,4.3,103
c9Ff-s11eazKGgq3gyqaeA,55,4.28,38
CA90pTn3aXWJDdY2KAyjsQ,2,4.5,1
vdIQcZhbrxIxwkT7fMhaJQ,2,4.5,26
EV8rlHrYs_rHB2jfFfyD9g,142,3.55,234
